No,year,month,day,hour,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
673,2013,3,29,0,93,127,31,104,1300,5,2.1,1016.3,-3.8,0,NE,1.4,Aotizhongxin
685,2013,3,29,12,75,99,57,70,1899,40,9.1,1015.8,-7.2,0,E,1.9,Aotizhongxin
697,2013,3,30,0,57,87,59,67,900,16,4.3,1017.1,-4.5,0,E,1.4,Aotizhongxin
709,2013,3,30,12,92,134,86,62,2000,53,10.3,1016.6,-3.1,0,SE,1.7,Aotizhongxin
721,2013,3,31,0,102,104,11,87,800,5,4.9,1017.9,1.6,0,SSW,1.3,Aotizhongxin
733,2013,3,31,12,205,231,14,57,1300,2,6.2,1012.9,2.5,0,N,2.4,Aotizhongxin
745,2013,4,1,0,226,246,16,77,1600,2,6.6,1009.5,3.4,0,NE,0.8,Aotizhongxin
757,2013,4,1,12,27,66,22,18,600,62,15.7,1011.1,-4.8,0,NNW,5.2,Aotizhongxin
769,2013,4,2,0,3,6,3,20,400,74,5,1018,-12.5,0,NNE,1.3,Aotizhongxin
781,2013,4,2,12,145,155,60,77,1800,64,15.1,1011,0.9,0,S,3.6,Aotizhongxin
793,2013,4,3,0,124,227,58,99,1300,2,8.4,1004.7,0.1,0,SW,1,Aotizhongxin
805,2013,4,3,12,157,263,61,80,1399,89,19.6,1006.3,2,0,SSE,3.4,Aotizhongxin
817,2013,4,4,0,40,77,31,73,1200,30,7.1,1010.3,1,0,SSW,0.6,Aotizhongxin
829,2013,4,4,12,84,143,97,93,2600,20,10.5,1008.2,-4,0,NNW,1.1,Aotizhongxin
841,2013,4,5,0,80,88,13,90,2299,2,5.9,1010.9,5.5,0.3,NE,1.2,Aotizhongxin
853,2013,4,5,12,26,26,28,24,700,48,13,1012.3,-3.8,0,WNW,3.5,Aotizhongxin
865,2013,4,6,0,3,7,3,13,300,69,4.9,1016.9,-7.9,0,NE,2.1,Aotizhongxin
877,2013,4,6,12,14,7,8,15,500,75,12.6,1010.6,-5,0,W,2.5,Aotizhongxin
889,2013,4,7,0,40,91,17,57,600,30,6.6,1005.2,-2.8,0,SW,1.4,Aotizhongxin
901,2013,4,7,12,86,115,50,62,1200,43,12.7,1001.3,0.1,0,E,2,Aotizhongxin
913,2013,4,8,0,63,42,23,47,700,30,6.3,1002.2,3.6,0,NNW,1.1,Aotizhongxin
925,2013,4,8,12,13,69,4,9,400,81,11.7,1006.8,-11.2,0,NW,7.6,Aotizhongxin
937,2013,4,9,0,9,72,4,8,400,76,6.6,1010.4,-9.4,0,NW,4.1,Aotizhongxin
949,2013,4,9,12,12,24,5,10,400,85,11.4,1015.1,-9.6,0,NNW,3.9,Aotizhongxin
961,2013,4,10,0,13,23,4,33,400,60,4.6,1016.9,-9.2,0,NNW,1.7,Aotizhongxin
973,2013,4,10,12,5,11,6,12,500,78.6114,11.6,1013.3,-7.8,0,NNW,3,Aotizhongxin
985,2013,4,11,0,36,108,8,98,1200,2,2.3,1013.4,-5.8,0,NE,0.8,Aotizhongxin
997,2013,4,11,12,16,27,9,17,NA,78.8256,15.3,1012.4,-6.9,0,WNW,4.5,Aotizhongxin
1009,2013,4,12,0,50,215,11,112,1100,2,7.8,1011.6,-3.7,0,SW,1.5,Aotizhongxin
1021,2013,4,12,12,45,95,20,104,1000,24,20.9,1006.6,-2.9,0,SSW,2.9,Aotizhongxin
1033,2013,4,13,0,70,191,42,71,700,18,15.4,999.6,4.1,0,W,1.3,Aotizhongxin
1045,2013,4,13,12,92,143,36,83,1000,42,24.2,997.1,3.5,0,NNW,4.5,Aotizhongxin
1057,2013,4,14,0,8,25,3,25,400,66,11.8,1007.2,-9.9,0,NE,3.6,Aotizhongxin
1069,2013,4,14,12,64,137,32,48,900,63,14.3,1005.1,-0.2,0,SSW,3.4,Aotizhongxin
1081,2013,4,15,0,65,169,35,77,1700,25,9.6,1000,0.2,0,SW,1.6,Aotizhongxin
1093,2013,4,15,12,49,173,96,82,1800,52,18.1,997,-0.2,0,SSE,4.1,Aotizhongxin
1105,2013,4,16,0,50,147,39,47,1399,57,10.7,998.2,1.2,0,NE,1.2,Aotizhongxin
1117,2013,4,16,12,72,187,40,55,600,76,20.8,1001.4,-1.7,0,N,3.9,Aotizhongxin
1129,2013,4,17,0,51,94,20,59,600,49,9,1007.6,1.2,0,SSW,2,Aotizhongxin
1141,2013,4,17,12,51,86,25,46,600,63,15.8,1003.3,-2.2,0,SSW,2.2,Aotizhongxin
1153,2013,4,18,0,12,107,3,20,300,67,9.9,1013.2,-6.5,0,N,4,Aotizhongxin
1165,2013,4,18,12,9,18,4,12,300,81,13.5,1017.4,-12.7,0,ENE,2.4,Aotizhongxin
1177,2013,4,19,0,33,91,12,54,600,42,8.4,1017.5,-3.8,0,SW,0,Aotizhongxin
1189,2013,4,19,12,31,33,13,34,500,63,7.2,1019.3,0.2,0,SW,3.9,Aotizhongxin
1201,2013,4,20,0,55,60,4,59,600,10,3.5,1017.5,1.9,0,SW,1.7,Aotizhongxin
1213,2013,4,20,12,62,69,15,57,800,66,14.3,1014.8,0.9,0,SSW,2.7,Aotizhongxin
1225,2013,4,21,0,96,138,11,83,1000,25,8.1,1015,2.7,0,SW,1.6,Aotizhongxin
1237,2013,4,21,12,159,182,34,96,1200,NA,15.8,1012.3,3.9,0,SSW,2.5,Aotizhongxin
1249,2013,4,22,0,95,113,24,57,700,NA,11.2,1010.1,3.9,0,SSW,1.4,Aotizhongxin
1261,2013,4,22,12,202,204,52,72,1200,NA,13.9,1009.1,7,0,SSW,1.8,Aotizhongxin
1273,2013,4,23,0,150,143,36,50,900,39,11.6,1006,6.9,0,S,1.6,Aotizhongxin
1285,2013,4,23,12,198,217,53,59,1300,14,13,1004,7.7,0,SSW,1.4,Aotizhongxin
1297,2013,4,24,0,161,195,23,52,1800,2,8,1007.3,7.4,0,NNE,0.2,Aotizhongxin
1309,2013,4,24,12,81,88,23,70,900,44,23,1002.5,-1.2,0,W,4.4,Aotizhongxin
1321,2013,4,25,0,10,20,4,44,300,37,12.2,1007.6,-2.8,0,N,1.9,Aotizhongxin
1333,2013,4,25,12,12,58,3,9,300,87,20.5,1007.6,-7.1,0,N,6.1,Aotizhongxin
1345,2013,4,26,0,24,88,11,87,1100,2,8.1,1007.9,2.5,0,W,0.7,Aotizhongxin
1357,2013,4,26,12,89,192,57,NA,1100,13,22.6,1003.8,4.1,0,SW,2.9,Aotizhongxin
1369,2013,4,27,0,37,77,36.2712,66.5172,NA,58.6908,15.4,1004.2,1.9,0,SSE,0.7,Aotizhongxin
1381,2013,4,27,12,38,97,48,34,1000,96,23.1,1005.1,4.1,0,ESE,2.4,Aotizhongxin
1393,2013,4,28,0,96,153,55,64,1800,85,15.5,1006,5.1,0,ESE,1.4,Aotizhongxin
1405,2013,4,28,12,82,125,80,44,1899,104,18.1,1003.4,6.9,0,NE,1.2,Aotizhongxin
1417,2013,4,29,0,12,42,6,30,300,64,12.8,1008.7,0.2,0,S,0.6,Aotizhongxin
1429,2013,4,29,12,10,77,6,10,400,102,26.7,1006,-4,0,NNW,4.6,Aotizhongxin
1441,2013,4,30,0,40,109,8,72,600,26,17,1008.2,-3.7,0,NE,1.6,Aotizhongxin
1453,2013,4,30,12,20,49,8,22,300,92,27,1007.4,-3.8,0,ESE,1.6,Aotizhongxin
1465,2013,5,1,0,41,248,18,61,600,47,14.1,1012.2,0,0,SE,1,Aotizhongxin
1477,2013,5,1,12,33,53,17,36,500,NA,23.3,1008.5,-0.3,0,SSW,2.3,Aotizhongxin
1489,2013,5,2,0,61,135,30,61,800,NA,16.6,1007.7,4.6,0,SSW,1.4,Aotizhongxin
1501,2013,5,2,12,58,65,37,36,500,NA,23.5,1005.9,4.4,0,SE,2.9,Aotizhongxin
1513,2013,5,3,0,69,85,44,47,500,62,16.6,1009,5.8,0,ESE,2.4,Aotizhongxin
1525,2013,5,3,12,50,54,29,23,600,116,21.9,1011.5,8.4,0,SW,1.9,Aotizhongxin
1537,2013,5,4,0,93,122,23,44,900,93,16.3,1011.2,8.3,0,SW,2.9,Aotizhongxin
1549,2013,5,4,12,80,145,44,20,500,127,22.5,1010.8,9.3,0,S,4.4,Aotizhongxin
1561,2013,5,5,0,185,156,29,91,800,39,14.2,1010.7,10.6,0,ENE,0.6,Aotizhongxin
1573,2013,5,5,12,174,217,72,76,1200,102,25.7,1011.1,11.5,0,WSW,2,Aotizhongxin
1585,2013,5,6,0,288,310,31,50,1600,56,17.1,1009.7,15.8,0,SE,0,Aotizhongxin
1597,2013,5,6,12,278,305,55,40,1600,161,28.3,1007.9,15.9,0,SSW,1.9,Aotizhongxin
1609,2013,5,7,0,151,234,30,80,1300,89,19.4,1009.1,14.6,0,NNW,0.5,Aotizhongxin
1621,2013,5,7,12,225,300,48,137,1600,38,28.5,1010,14.3,0,SSW,1.1,Aotizhongxin
1633,2013,5,8,0,174,233,75,66,1399,41,20.2,1008.8,12.4,0,S,0.9,Aotizhongxin
1645,2013,5,8,12,67,172,82,92,2000,50,22.4,1008.6,14.3,0,WSW,1.6,Aotizhongxin
1657,2013,5,9,0,47,64,22,45,500,55,17.4,1006.5,12.1,0,SW,1.1,Aotizhongxin
1669,2013,5,9,12,22,46,25,46,300,66,18.9,1004.1,12.9,0,S,0.9,Aotizhongxin
1681,2013,5,10,0,73,90,14,108,700,2,11.8,1000.9,11,0,S,0,Aotizhongxin
1693,2013,5,10,12,17,59,14,17,200,91,28.5,995.9,1.1,0,WNW,4.7,Aotizhongxin
1705,2013,5,11,0,49,153,32,104,600,23,14.3,993.1,8.9,0,NW,0.8,Aotizhongxin
1717,2013,5,11,12,82,124,17,20,300,91,32.1,988.3,0.2,0,WNW,3.8,Aotizhongxin
1729,2013,5,12,0,51,78,11,72,300,22,16.5,992.5,2.5,0,ENE,0,Aotizhongxin
1741,2013,5,12,12,20,36,16,24,200,90,28.4,994.1,-1.7,0,NNE,0.9,Aotizhongxin
1753,2013,5,13,0,45,141,34,103,900,10,20.1,997.3,-0.6,0,SSE,2.2,Aotizhongxin
1765,2013,5,13,12,71,137,81,66,1600,92,25.8,996.4,5.9,0,E,1.7,Aotizhongxin
1777,2013,5,14,0,178,331,51,157,3000,2,16.9,999.5,12.4,0,NNW,0.5,Aotizhongxin
1789,2013,5,14,12,24,84,18,17,200,99,29,1002.8,3.8,0,N,2.3,Aotizhongxin
1801,2013,5,15,0,53,177,22,132,800,8,17.9,1007.8,9.3,0,NE,0.7,Aotizhongxin
1813,2013,5,15,12,78,175,106,53,2200,138,26.8,1010.4,6.8,0,NNW,0.8,Aotizhongxin
1825,2013,5,16,0,42,104,30,66,800,39,19.1,1012.3,9.8,0,SE,1.5,Aotizhongxin
1837,2013,5,16,12,665,86,61,48,NA,130.662,25.4,1011.1,13.3,0,WSW,1.7,Aotizhongxin
1849,2013,5,17,0,64,105,28,44,1000,88,19.6,1008.9,11.9,0,SSE,2.1,Aotizhongxin
1861,2013,5,17,12,115,135,38,79,1300,26,22.8,1006.2,14.1,0,S,1.4,Aotizhongxin
1873,2013,5,18,0,142,210,20,97,1399,25,19.2,1003.4,15.5,0,WNW,0.4,Aotizhongxin
1885,2013,5,18,12,153,164,21,36,1200,67,22.7,1000.1,15.3,0,SW,3.1,Aotizhongxin
1897,2013,5,19,0,44,52,16,29,900,77,18.5,998.2,14.4,0,SSW,1.3,Aotizhongxin
1909,2013,5,19,12,117,160,21,49,700,35.343,25.6,993.3,-3,0,NW,6.4,Aotizhongxin
1921,2013,5,20,0,13,81,6,52,300,19.7064,11.7,998.4,5.6,0,SW,0.6,Aotizhongxin
1933,2013,5,20,12,32,152,15,25,NA,98.3178,26.6,994.5,3.8,0,SSW,3.5,Aotizhongxin
1945,2013,5,21,0,54,223,39,49,NA,71.3286,17.9,990.3,9,0,NNE,0.8,Aotizhongxin
1957,2013,5,21,12,108,210,60,52,NA,143.514,27.3,992.9,10.9,0,SE,1.7,Aotizhongxin
1969,2013,5,22,0,71,179,78,60,NA,96.1758,19.3,1001.9,10.8,0,SSW,0.6,Aotizhongxin
1981,2013,5,22,12,81,166,67,44,NA,175.8582,27.7,1005.4,12.1,0,SSE,2.1,Aotizhongxin
1993,2013,5,23,0,29,80,23,116,NA,4.9266,16.2,1006.5,10.7,0,W,0.4,Aotizhongxin
2005,2013,5,23,12,40,67,39,68,NA,79.6824,28.1,1004.3,9.9,0,S,1.9,Aotizhongxin
2017,2013,5,24,0,161,388,20,156,2700,12,20.1,1004.1,15.3,0,NNE,1.2,Aotizhongxin
2029,2013,5,24,12,46,119,30,20,400,120,30.1,1006.6,13,0,E,1.3,Aotizhongxin
2041,2013,5,25,0,28,74,17,80,500,2,19.7,1007.7,15.3,0,ENE,0.5,Aotizhongxin
2053,2013,5,25,12,65,124,33,60,800,118,28.7,1004.5,10.4,0,S,1.9,Aotizhongxin
2065,2013,5,26,0,72,153,11,80,800,2,22.6,1003.7,18.2,0,SE,1.7,Aotizhongxin
2077,2013,5,26,12,102,130,13,65,1899,26,23,1002.3,18.3,0,SSE,1.4,Aotizhongxin
2089,2013,5,27,0,36,36,9,24,200,38,16.7,1004.8,16.1,0.6,ENE,0.8,Aotizhongxin
2101,2013,5,27,12,67,407,9,54,1200,34,19.8,1001.9,16.4,0,WSW,1.8,Aotizhongxin
2113,2013,5,28,0,94,122,3,58,1200,24,18.8,998.8,16.9,0,SSW,1.2,Aotizhongxin
2125,2013,5,28,12,35,55,3,87,1000,12,20,1000.7,17.4,0,WSW,1.7,Aotizhongxin
2137,2013,5,29,0,54,93,5,68,500,25,22.1,1003.6,2.2,0,N,3.9,Aotizhongxin
2149,2013,5,29,12,8,16,4,14,200,94,27.9,1004.4,0.6,0,WNW,3.3,Aotizhongxin
2161,2013,5,30,0,39,122,14,116,500,16,15.2,1003,11.6,0,WSW,0,Aotizhongxin
2173,2013,5,30,12,78,137,20,122,800,96,32.2,999.8,10.8,0,SSW,2.4,Aotizhongxin
2185,2013,5,31,0,54,118,32,46,600,122,24.2,997.3,10.1,0,WSW,1.9,Aotizhongxin
2197,2013,5,31,12,114,179,41,58,800,137,28.3,997,16.9,0,SW,3.1,Aotizhongxin
2209,2013,6,1,0,115,152,4,54,700,79,20,998,18.5,0,WSW,0,Aotizhongxin
2221,2013,6,1,12,27,27,5,19,300,123,30.2,1000.9,0.7,0,NNE,0.7,Aotizhongxin
2233,2013,6,2,0,54,91,28,67,700,76,20.6,1001.9,11.8,0,SE,2,Aotizhongxin
2245,2013,6,2,12,250,267,6,74,2700,47,24.1,998.2,18.3,0,SE,1.2,Aotizhongxin
2257,2013,6,3,0,133,134,5,59,1500,74,20.3,997.7,17.9,0,NNE,0.4,Aotizhongxin
2269,2013,6,3,12,104,88,36,32,1000,186,32.1,998.4,10.7,0,SE,2.2,Aotizhongxin
2281,2013,6,4,0,147,426,25,218,2299,7,19.8,1002.1,17.4,0,N,0.2,Aotizhongxin
2293,2013,6,4,12,128,141,15,72,1600,71,22.1,1007.1,15.9,0,ESE,2.2,Aotizhongxin
2305,2013,6,5,0,76,57,3,68,1100,31,18.5,1006.4,18.2,2.2,NW,0,Aotizhongxin
2317,2013,6,5,12,126,98,3,54,2000,24,19.5,1006.3,18.2,0,NE,1,Aotizhongxin
2329,2013,6,6,0,169,194,3,46,1899,19,18.9,1006.8,17.4,0,ENE,1,Aotizhongxin
2341,2013,6,6,12,91,96,4,68,2700,7,19.2,1004.7,18.4,0,NE,1.3,Aotizhongxin
2353,2013,6,7,0,141,106,3,74,2299,4,20.1,1002.7,18.8,0,NE,1.1,Aotizhongxin
2365,2013,6,7,12,95,106,6,56,2299,6,20.2,1003.6,19.9,0.6,WSW,1.1,Aotizhongxin
2377,2013,6,8,0,137,142,5,74,2100,7,19.9,1003.5,19.2,0,NE,1.5,Aotizhongxin
2389,2013,6,8,12,232,285,10,100,3200,8,20.2,1002.8,19.2,0,NNE,1.2,Aotizhongxin
2401,2013,6,9,0,176,259,10,81,2299,8,19.9,1002.1,19.7,0,NNE,1.1,Aotizhongxin
2413,2013,6,9,12,10,10,3,55,300,38,16.9,1006.4,16.3,3.2,NNE,1.5,Aotizhongxin
2425,2013,6,10,0,22,32,3,83,500,4,16.2,1007.3,16,0,W,0.9,Aotizhongxin
2437,2013,6,10,12,34,34,11,79,500,72,26.2,1006.9,13.7,0,W,1.9,Aotizhongxin
2449,2013,6,11,0,32,74,4,119,500,13,18,1004.6,16.7,0,N,0,Aotizhongxin
2461,2013,6,11,12,90,93,12,76,500,123,26.3,1001.8,17.9,0,SSW,2.6,Aotizhongxin
2473,2013,6,12,0,19,36,3,72,300,53,16,1003.8,14,0,WSW,1.3,Aotizhongxin
2485,2013,6,12,12,62,81,24,38,700,145,25,1002.1,16.2,0,SSW,2.4,Aotizhongxin
2497,2013,6,13,0,99,81,16,63,600,136,20.6,1002.9,15.6,0,SSE,1.1,Aotizhongxin
2509,2013,6,13,12,140,182,68,76,1899,138,28,1003.2,17.5,0,SW,2.2,Aotizhongxin
2521,2013,6,14,0,86,169,21,90,700,105,24.4,1002.3,11.7,0,S,1.4,Aotizhongxin
2533,2013,6,14,12,153,189,57,64,1000,223,29.5,1002.7,16.7,0,S,2.6,Aotizhongxin
2545,2013,6,15,0,90,99,38,118,1200,76,22.5,1002,15.6,0,ESE,0,Aotizhongxin
2557,2013,6,15,12,144,216,28,76,1800,87,27.8,1001.5,17,0,W,1.5,Aotizhongxin
2569,2013,6,16,0,155,183,71,127,1200,101,24.8,999.9,17.8,0,ENE,0,Aotizhongxin
2581,2013,6,16,12,198,333,50,112,2500,9,21.1,997.7,19.2,0.2,ENE,1.5,Aotizhongxin
2593,2013,6,17,0,191,111,16,43,1399,35,21.5,997.9,20,0,NE,1.2,Aotizhongxin
2605,2013,6,17,12,10,10,5,40,200,97,29.1,996.1,16,0,W,1.2,Aotizhongxin
2617,2013,6,18,0,53,88,12,111,700,43,23.2,994,18.7,0,W,0.4,Aotizhongxin
2629,2013,6,18,12,25,54,12,57,400,122,31.5,990.4,16.3,0,SSW,3.1,Aotizhongxin
2641,2013,6,19,0,74,252,48,74,1700,43,24.4,996.5,19.2,0,SSE,1.3,Aotizhongxin
2653,2013,6,19,12,20,20,19,45,300,160,34,997.2,12.9,0,SSW,1,Aotizhongxin
2665,2013,6,20,0,62,62,3.1416,159.9287,NA,12.6378,24.9,998.2,20.4,0,SSE,0.5,Aotizhongxin
2677,2013,6,20,12,26,72,11,53,300,99,28,1002.1,21.8,0,W,0.6,Aotizhongxin
2689,2013,6,21,0,56,135,19.992,129.1337,NA,NA,23,1004.2,19.8,0,SSW,0.4,Aotizhongxin
2701,2013,6,21,12,64,104,20.8488,87.2525,NA,132.5898,29.7,1003.9,17.8,0,SSW,2.9,Aotizhongxin
2713,2013,6,22,0,32,87,5.9976,54.1992,NA,72.1854,22.9,1003.7,17.8,0,SW,1.4,Aotizhongxin
2725,2013,6,22,12,50,42,2.2848,54.6098,NA,24.4188,20.9,1003.1,20.1,0.1,NE,1.8,Aotizhongxin
2737,2013,6,23,0,47,75,2.5704,83.3518,NA,NA,20.3,1001.4,19.6,0,SW,0.7,Aotizhongxin
2749,2013,6,23,12,57,11,9.996,38.8017,NA,130.2336,29.9,997.6,16,0,SSW,1.5,Aotizhongxin
2761,2013,6,24,0,73,109,6.5688,56.4575,NA,125.0928,24,997.8,18.9,0,WSW,0.9,Aotizhongxin
2773,2013,6,24,12,161,131,10.5672,61.59,NA,164.934,28.8,997,20.8,0,E,0.9,Aotizhongxin
2785,2013,6,25,0,37,37,NA,NA,NA,NA,20.9,997.1,20.6,0,N,0.7,Aotizhongxin
2797,2013,6,25,12,150,172,22.5624,69.3914,NA,31.4874,22.8,995.4,20.9,0,E,1.2,Aotizhongxin
2809,2013,6,26,0,NA,183,64.26,40.0335,NA,NA,21.7,993,21.2,0,NNW,0.4,Aotizhongxin
2821,2013,6,26,12,189,182,6.2832,63.2324,NA,139.8726,29.7,991.4,21.6,0,SSW,1.5,Aotizhongxin
2833,2013,6,27,0,247,250,11.1384,65.696,NA,70.9002,24.8,992.1,20.7,0,NE,0.9,Aotizhongxin
2845,2013,6,27,12,37,37,4.8552,34.6957,NA,139.0158,32.6,992.8,17.2,0,ESE,1.8,Aotizhongxin
2857,2013,6,28,0,113,339,18.564,201.8099,NA,NA,26.1,994.8,21.1,0,ENE,1.1,Aotizhongxin
2869,2013,6,28,12,277,274,47.124,61.7953,NA,52.2648,26,995.9,22.3,0,S,1,Aotizhongxin
2881,2013,6,29,0,25,25,3,61,500,85,21,996.6,20.5,0.6,NNE,1.5,Aotizhongxin
2893,2013,6,29,12,125,144,11,58,1899,29,22.9,999.1,21,0,N,1.5,Aotizhongxin
2905,2013,6,30,0,179,201,14,92,2399,2,22.5,999.5,22,0,N,0,Aotizhongxin
2917,2013,6,30,12,246,222,18,61,2000,74,27.2,998,23.7,0,S,1.7,Aotizhongxin
2929,2013,7,1,0,271,247,13,92,2500,2,24.6,996.1,23.7,0,ENE,0.8,Aotizhongxin
2941,2013,7,1,12,181,181,22,78,2500,2,24.9,994.2,23.3,0,NE,1.9,Aotizhongxin
2953,2013,7,2,0,37,37,8,66,2399,4,21.1,989.9,20.8,10.1,NE,2.7,Aotizhongxin
2965,2013,7,2,12,7,7,4,31,200,111,33.4,990.8,16.7,0,WSW,1.8,Aotizhongxin
2977,2013,7,3,0,21,78,6,95,400,17,25.3,990.2,20.5,0,W,0.8,Aotizhongxin
